World Cup,Media,First place,Second place,Third place
1930 Uruguay,Clarín,José Nasazzi,,
1930 Uruguay,ESPN Deportes[29],José Nasazzi,,
,,,,
1934 Italy,Clarín,Giuseppe Meazza,,
1934 Italy,ESPN Deportes[30],Raimundo Orsi,,
,,,,
1938 France,Clarín,Leônidas,,
1938 France,ESPN Deportes[31],Giuseppe Meazza,,
,,,,
1950 Brazil,Sport-Magazin,Zizinho,Alcides Ghiggia,Ademir
1950 Brazil,Clarín,Obdulio Varela,,
1950 Brazil,ESPN Deportes[32],Obdulio Varela,,
,,,,
1954 Switzerland,Clarín,Ferenc Puskás,,
1954 Switzerland,ESPN Deportes[33],Ferenc Puskás,,
,,,,
1958 Sweden,Clarín,Pelé,,
1958 Sweden,ESPN Deportes[34],Pelé,,
,,,,
1962 Chile,Clarín,Garrincha,,
1962 Chile,ESPN Deportes[35],Garrincha,,
,,,,
1966 England,France FootballL'Équipe,Bobby Charlton,Franz Beckenbauer,Eusébio
1966 England,Sofascore[36],Eusébio,Helmut Haller,Ferenc Bene
1966 England,Castrol Football[14],Franz Beckenbauer,Helmut Haller,Martin Peters
1966 England,Clarín,Franz Beckenbauer,,
1966 England,ESPN Deportes[37],Bobby Charlton,,
,,,,
1970 Mexico,Sofascore[38],Gerd Müller,Pelé,Rivellino
1970 Mexico,Castrol Football[15],Gerd Müller,Jairzinho,Pelé
1970 Mexico,Clarín,Pelé,,
1970 Mexico,ESPN Deportes[39],Pelé,,
,,,,
1974 West Germany,Sofascore[40],Johan Cruyff,Kazimierz Deyna,Ronnie Hellström
1974 West Germany,Castrol Football[17],Johan Cruyff,Grzegorz Lato,Kazimierz Deyna
1974 West Germany,Clarín,Johan Cruyff,,
1974 West Germany,ESPN Deportes[41],Johan Cruyff,,
,,,,
1978 Argentina,El Gráfico,Mario Kempes,Paolo Rossi,Ubaldo Fillol
1978 Argentina,Sofascore[42],Mario Kempes,Daniel Passarella,Ramón Quiroga
1978 Argentina,Castrol Football[18],Mario Kempes,Émerson Leão,Ubaldo Fillol
1978 Argentina,Clarín,Mario Kempes,,
1978 Argentina,ESPN Deportes[43],Mario Kempes,,
,,,,
1982 Spain,FourFourTwo[44],Paolo Rossi,Bruno Conti,Falcão
1982 Spain,Guerin Sportivo[45],Paolo Rossi,Claudio Gentile,Júnior
1982 Spain,Sofascore[46],Thomas N'Kono,Zbigniew Boniek,Ferenc Mészáros
1982 Spain,Castrol Football[19],Paolo Rossi,Zico,Zbigniew Boniek
1982 Spain,Clarín,Paolo Rossi,,
1982 Spain,ESPN Deportes[47],Sócrates,,
1982 Spain,Pelé[48],Bruno Conti,,
,,,,
1986 Mexico,FourFourTwo[49],Diego Maradona,Preben Elkjær,Gary Lineker
1986 Mexico,Sofascore[50],Diego Maradona,Igor Belanov,Careca
1986 Mexico,Castrol Football[20],Diego Maradona,José Luis Brown,Gary Lineker
1986 Mexico,Clarín,Diego Maradona,,
1986 Mexico,ESPN Deportes[51],Diego Maradona,,
,,,,
1990 Italy,FourFourTwo[52],Lothar Matthäus,Salvatore Schillaci,Diego Maradona
1990 Italy,Guerin Sportivo,Salvatore Schillaci,Andreas Brehme,Paul Gascoigne
1990 Italy,Sofascore[1],Lothar Matthäus,Andreas Brehme,Míchel
1990 Italy,Castrol Football[21],Andreas Brehme,Franco Baresi,Guido Buchwald
1990 Italy,Clarín,Diego Maradona,,
1990 Italy,ESPN Deportes[53],Lothar Matthäus,,
,,,,
1994 United States,FourFourTwo[54],Romário,Hristo Stoichkov,Gheorghe Hagi
1994 United States,Sofascore[2],Gheorghe Hagi,Jay-Jay Okocha,Oleg Salenko
1994 United States,Castrol Football[22],Romário,Márcio Santos,Aldair
1994 United States,Clarín,Romário,,
1994 United States,ESPN Deportes[55],Romário,,
,,,,
1998 France,FourFourTwo[56],Lilian Thuram,Ronaldo,Davor Šuker
1998 France,Sofascore[3],Fernando Hierro,Celso Ayala,Faryd Mondragón
1998 France,Castrol Football[23],Lilian Thuram,Marcel Desailly,Bixente Lizarazu
1998 France,Clarín,Zinedine Zidane,,
1998 France,ESPN Deportes[57],Zinedine Zidane,,
,,,,
2002 South Korea/Japan,FourFourTwo[58],Ronaldo,Oliver Kahn,Hasan Şaş
2002 South Korea/Japan,Sofascore[4],Joseph Yobo,Michael Ballack,Pauleta
2002 South Korea/Japan,Castrol Football[26],Ronaldo,Michael Ballack,Thomas Linke
2002 South Korea/Japan,ESPN Deportes[59],Ronaldo,,
,,,,
2006 Germany,FourFourTwo[60],Andrea Pirlo,Zinedine Zidane,Fabio Cannavaro
2006 Germany,Sofascore[6],Andrea Pirlo,Anatoliy Tymoshchuk,Pascal Zuberbühler
2006 Germany,Castrol Football[27],Gianluigi Buffon,Lilian Thuram,William Gallas
2006 Germany,ESPN Deportes[61],Zinedine Zidane,,
,,,,
2010 South Africa,FourFourTwo[62],Xavi,Diego Forlán,Andrés Iniesta
2010 South Africa,Bleacher Report[63],Wesley Sneijder,David Villa,Diego Forlán
2010 South Africa,Sofascore[8],Romaric,Lionel Messi,Bastian Schweinsteiger
2010 South Africa,Castrol Football[28],Sergio Ramos,Joan Capdevila,Carles Puyol
2010 South Africa,ESPN Deportes[64],Diego Forlán,,
,,,,
2014 Brazil,FourFourTwo[65],James Rodríguez,Toni Kroos,Javier Mascherano
2014 Brazil,The Guardian[66],James Rodríguez,Thomas Müller,Arjen Robben
2014 Brazil,Bleacher Report[67],Manuel Neuer,Arjen Robben,James Rodríguez
2014 Brazil,Sofascore[11],Miralem Pjanić,James Rodríguez,Ricardo Rodriguez
,,,,
2018 Russia,Irish Independent[68],Luka Modrić,Kylian Mbappé,N'Golo Kanté
2018 Russia,Sportskeeda[69],Luka Modrić,Kylian Mbappé,Eden Hazard
2018 Russia,Sofascore[12],Isco,Eden Hazard,Toni Kroos
,,,,
2022 Qatar,FourFourTwo[70],Lionel Messi,Kylian Mbappé,Antoine Griezmann
2022 Qatar,Sports Illustrated[71],Kylian Mbappé,Lionel Messi,Antoine Griezmann
2022 Qatar,Sofascore[13],Bruno Fernandes,Lionel Messi,Wojciech Szczęsny
