world_cup_host_nation,Golden Ball,Silver Ball,Bronze Ball
1982 Spain,Paolo Rossi,Falcão,Karl-Heinz Rummenigge
1986 Mexico,Diego Maradona,Harald Schumacher,Preben Elkjær
1990 Italy,Salvatore Schillaci,Lothar Matthäus,Diego Maradona
1994 United States,Romário,Roberto Baggio,Hristo Stoichkov
1998 France,Ronaldo,Davor Šuker,Lilian Thuram
2002 South Korea/Japan,Oliver Kahn,Ronaldo,Hong Myung-bo
2006 Germany,Zinedine Zidane,Fabio Cannavaro,Andrea Pirlo
2010 South Africa,Diego Forlán,Wesley Sneijder,David Villa
2014 Brazil,Lionel Messi,Thomas Müller,Arjen Robben
2018 Russia,Luka Modrić,Eden Hazard,Antoine Griezmann
2022 Qatar,Lionel Messi,Kylian Mbappé,Luka Modrić
