Year,Host Nation,Finish
1930,Uruguay,Champions
1934,Italy,Champions
1938,France,Quarter-finals
1950,Brazil,Runners-up
1954,Switzerland,Quarter-finals
1958,Sweden,Runners-up
1962,Chile,Third place
1966,England,Champions
1970,Mexico,Quarter-finals
1974,West Germany,Champions
1978,Argentina,Champions
1982,Spain,Second round
1986,Mexico,Quarter-finals
1990,Italy,Third place
1994,United States,Round of 16
1998,France,Champions
2002,South Korea,Fourth place
2002,Japan,Round of 16
2006,Germany,Third place
2010,South Africa,Group stage
2014,Brazil,Fourth place
2018,Russia,Quarter-finals
2022,Qatar,Group stage
2026,Canada,TBD
2026,Mexico,TBD
2026,United States,TBD
