Team,Appearances,Record streak,Active streak,Debut,Most recent,Best result
Brazil,22,22,22,1930,2022,"Champions (1958, 1962, 1970, 1994, 2002)"
Germany[a],20,18,18,1934,2022,"Champions (1954, 1974,[b] 1990, 2014)"
Argentina,18,13,13,1930,2022,"Champions (1978,[b] 1986, 2022)"
Italy,18,14,0,1934,2014,"Champions (1934,[b] 1938, 1982, 2006)"
Mexico,17,8,8,1930,2022,"Quarterfinals (1970,[b] 1986[b])"
Spain,16,12,12,1934,2022,Champions (2010)
France,16,7,7,1930,2022,"Champions (1998,[b] 2018)"
England,16,7,7,1950,2022,Champions (1966[b])
Belgium,14,6,3,1930,2022,Third place (2018)
Uruguay,14,4,4,1930,2022,"Champions (1930,[b] 1950)"
Serbia[c],13,4,2,1930,2022,"Fourth place (1930, 1962)"
Switzerland,12,5,5,1934,2022,"Quarterfinals (1934, 1938, 1954[b])"
Sweden,12,3,0,1934,2018,Runners-up (1958[b])
South Korea,11,10,10,1954,2022,Fourth place (2002[d])
United States,11,7,1,1930,2022,Third place (1930)
Netherlands,11,3,1,1934,2022,"Runners-up (1974, 1978, 2010)"
Russia[e],11,4,0,1958,2018,Fourth place (1966)
Poland,9,4,2,1938,2022,"Third place (1974, 1982)"
Hungary,9,4,0,1934,1986,"Runners-up (1938, 1954)"
Czech Republic[f],9,3,0,1934,2006,"Runners-up (1934, 1962)"
Chile,9,2,0,1930,2014,Third place (1962[b])
Portugal,8,6,6,1966,2022,Third place (1966)
Cameroon,8,4,1,1982,2022,Quarterfinals (1990)
Scotland,8,5,0,1954,1998,Group Stage
Paraguay,8,4,0,1930,2010,Quarterfinals (2010)
Japan,7,7,7,1998,2022,"Round of 16 (2002,[d] 2010, 2018, 2022)"
Bulgaria,7,4,0,1962,1998,Fourth place (1994)
Romania,7,3,0,1930,1998,Quarterfinals (1994)
Austria,7,2,0,1934,1998,Third place (1954)
Australia,6,5,5,1974,2022,"Round of 16 (2006, 2022)"
Iran,6,3,3,1978,2022,Group Stage
Costa Rica,6,3,3,1990,2022,Quarterfinals (2014)
Croatia,6,3,3,1998,2022,Runners-up (2018)
Saudi Arabia,6,4,2,1994,2022,Round of 16 (1994)
Tunisia,6,3,2,1978,2022,Group Stage
Morocco,6,2,2,1970,2022,Fourth place (2022)
Denmark,6,2,2,1986,2022,Quarterfinals (1998)
Colombia,6,3,0,1962,2018,Quarterfinals (2014)
Nigeria,6,3,0,1994,2018,"Round of 16 (1994, 1998, 2014)"
Peru,5,2,0,1930,2018,"Quarterfinals (1970, 1978)"
Ghana,4,3,1,2006,2022,Quarterfinals (2010)
Ecuador,4,2,1,2002,2022,Round of 16 (2006)
Algeria,4,2,0,1982,2014,Round of 16 (2014)
Senegal,3,2,2,2002,2022,Quarterfinals (2002)
Ivory Coast,3,3,0,2006,2014,Group Stage
Norway,3,2,0,1938,1998,"Round of 16 (1938, 1998)"
Northern Ireland,3,2,0,1958,1986,Quarterfinals (1958)
Honduras,3,2,0,1982,2014,Group Stage
Republic of Ireland,3,2,0,1990,2002,Quarterfinals (1990)
Greece,3,2,0,1994,2014,Round of 16 (2014)
South Africa,3,2,0,1998,2010,Group Stage
Bolivia,3,1,0,1930,1994,Group Stage
Egypt,3,1,0,1934,2018,First Round (1934)
Wales,2,1,1,1958,2022,Quarterfinals (1958)
Canada,2,1,1,1986,2022,Group Stage
Turkey,2,1,0,1954,2002,Third place (2002)
North Korea,2,1,0,1966,2010,Quarterfinals (1966)
El Salvador,2,1,0,1970,1982,Group Stage
New Zealand,2,1,0,1982,2010,Group Stage
Slovenia,2,1,0,2002,2010,Group Stage
Cuba,1,1,0,1938,1938,Quarterfinals (1938)
Indonesia[g],1,1,0,1938,1938,First Round (1938)
Israel,1,1,0,1970,1970,Group Stage
DR Congo[h],1,1,0,1974,1974,Group Stage
Haiti,1,1,0,1974,1974,Group Stage
Kuwait,1,1,0,1982,1982,Group Stage
Iraq,1,1,0,1986,1986,Group Stage
United Arab Emirates,1,1,0,1990,1990,Group Stage
Jamaica,1,1,0,1998,1998,Group Stage
China,1,1,0,2002,2002,Group Stage
Angola,1,1,0,2006,2006,Group Stage
Togo,1,1,0,2006,2006,Group Stage
Trinidad and Tobago,1,1,0,2006,2006,Group Stage
Ukraine,1,1,0,2006,2006,Quarterfinals (2006)
Slovakia,1,1,0,2010,2010,Round of 16 (2010)
Bosnia and Herzegovina,1,1,0,2014,2014,Group Stage
Iceland,1,1,0,2018,2018,Group Stage
Panama,1,1,0,2018,2018,Group Stage
Qatar,1,1,1,2022,2022,Group Stage
